2.46 12:12:0:10 Нийт:162 X:84 W:79 4.209753086419752 +++
1.55 12:12:0:25 Нийт:163 X:85 W:79 4.193435582822085 ---
1.47 12:12:0:40 Нийт:164 X:86 W:79 4.176829268292682 ---
1.22 12:12:0:53 Нийт:165 X:87 W:79 4.1589090909090904 ---
1.93 12:12:1:10 Нийт:166 X:88 W:79 4.145481927710843 ---
1.21 12:12:1:23 Нийт:167 X:89 W:79 4.127904191616766 ---
2.5 12:12:1:42 Нийт:168 X:89 W:80 4.118214285714285 +++
10.87 12:12:2:12 Нийт:169 X:89 W:81 4.158165680473372 +++
6.35 12:12:2:37 Нийт:170 X:89 W:82 4.171058823529411 +++
12.39 12:12:3:9 Нийт:171 X:89 W:83 4.219122807017543 +++
1.3 12:12:3:23 Нийт:172 X:90 W:83 4.202151162790697 ---
1.11 12:12:3:36 Нийт:173 X:91 W:83 4.184277456647398 ---
1.73 12:12:3:52 Нийт:174 X:92 W:83 4.170172413793103 ---
1.95 12:12:4:8 Нийт:175 X:93 W:83 4.157485714285714 ---
3.56 12:12:4:29 Нийт:176 X:93 W:84 4.154090909090908 +++
4.76 12:12:4:52 Нийт:177 X:93 W:85 4.157514124293785 +++
1.5 12:12:5:7 Нийт:178 X:94 W:85 4.142584269662921 ---
1.95 12:12:5:23 Нийт:179 X:95 W:85 4.1303351955307255 ---
6.98 12:12:5:49 Нийт:180 X:95 W:86 4.146166666666667 +++
8.67 12:12:6:17 Нийт:181 X:95 W:87 4.171160220994475 +++
1.34 12:12:6:32 Нийт:182 X:96 W:87 4.155604395604395 ---
2.05 12:12:6:49 Нийт:183 X:96 W:88 4.144098360655737 +++
1.09 12:12:7:1 Нийт:184 X:97 W:88 4.1274999999999995 ---
1.07 12:12:7:13 Нийт:185 X:98 W:88 4.110972972972973 ---
2.74 12:12:7:32 Нийт:186 X:98 W:89 4.103602150537634 +++
2.26 12:12:7:50 Нийт:187 X:98 W:90 4.093743315508021 +++
1 12:12:8:0 Нийт:188 X:99 W:90 4.077287234042553 ---
1.2 12:12:8:14 Нийт:189 X:100 W:90 4.062063492063492 ---
3.38 12:12:8:34 Нийт:190 X:100 W:91 4.058473684210527 +++
1.69 12:12:8:50 Нийт:191 X:101 W:91 4.046073298429319 ---
1.22 12:12:9:3 Нийт:192 X:102 W:91 4.0313541666666675 ---
1.33 12:12:9:18 Нийт:193 X:103 W:91 4.017357512953368 ---
1.31 12:12:9:32 Нийт:194 X:104 W:91 4.00340206185567 ---
1.57 12:12:9:47 Нийт:195 X:105 W:91 3.9909230769230777 ---
1.85 12:12:10:3 Нийт:196 X:106 W:91 3.980000000000001 ---
1.02 12:12:10:15 Нийт:197 X:107 W:91 3.964974619289341 ---
1.21 12:12:10:28 Нийт:198 X:108 W:91 3.951060606060607 ---
1.13 12:12:10:41 Нийт:199 X:109 W:91 3.9368844221105537 ---
1.77 12:12:10:58 Нийт:200 X:110 W:91 3.926050000000001 ---
2.67 12:12:11:17 Нийт:201 X:110 W:92 3.9198009950248762 +++
1.19 12:12:11:30 Нийт:202 X:111 W:92 3.906287128712872 ---
1.58 12:12:11:45 Нийт:203 X:112 W:92 3.8948275862068975 ---
1.27 12:12:11:59 Нийт:204 X:113 W:92 3.8819607843137263 ---
2 12:12:12:16 Нийт:205 X:113 W:93 3.872780487804879 +++
3.89 12:12:12:37 Нийт:206 X:113 W:94 3.8728640776699037 +++
1.67 12:12:12:53 Нийт:207 X:114 W:94 3.862222222222223 ---
11.15 12:12:13:24 Нийт:208 X:114 W:95 3.8972596153846157 +++
1 12:12:13:34 Нийт:209 X:115 W:95 3.883397129186603 ---
2.62 12:12:13:53 Нийт:210 X:115 W:96 3.877380952380953 +++
2.03 12:12:14:10 Нийт:211 X:115 W:97 3.868625592417062 +++
1.06 12:12:14:22 Нийт:212 X:116 W:97 3.8553773584905664 ---
5.12 12:12:14:45 Нийт:213 X:116 W:98 3.8613145539906104 +++
21.14 12:12:15:18 Нийт:0 X:0 W:1 Infinity +++
1.02 12:12:15:29 Нийт:1 X:1 W:1 22.16 ---
2.2 12:12:15:47 Нийт:2 X:1 W:2 12.18 +++
1.27 12:12:16:1 Нийт:3 X:2 W:2 8.543333333333333 ---
1.47 12:12:16:16 Нийт:4 X:3 W:2 6.7749999999999995 ---
4.55 12:12:16:38 Нийт:5 X:3 W:3 6.33 +++
1.14 12:12:16:51 Нийт:6 X:4 W:3 5.465 ---
1 12:12:17:2 Нийт:7 X:5 W:3 4.827142857142857 ---
1.15 12:12:17:15 Нийт:8 X:6 W:3 4.3675 ---
1 12:12:17:25 Нийт:9 X:7 W:3 3.993333333333333 ---
1.66 12:12:17:41 Нийт:10 X:8 W:3 3.7599999999999993 ---
2.11 12:12:17:58 Нийт:11 X:8 W:4 3.6099999999999994 +++
1.7 12:12:18:14 Нийт:12 X:9 W:4 3.450833333333333 ---
4.45 12:12:18:36 Нийт:13 X:9 W:5 3.5276923076923077 +++
1.77 12:12:18:52 Нийт:14 X:10 W:5 3.402142857142857 ---
1.52 12:12:19:7 Нийт:15 X:11 W:5 3.276666666666667 ---
1.82 12:12:19:24 Нийт:16 X:12 W:5 3.1856250000000004 ---
1.01 12:12:19:35 Нийт:17 X:13 W:5 3.05764705882353 ---
2.61 12:12:19:53 Нийт:18 X:13 W:6 3.032777777777778 +++
9.78 12:12:20:23 Нийт:19 X:13 W:7 3.3878947368421053 +++
1.17 12:12:20:36 Нийт:20 X:14 W:7 3.277 ---
20.44 12:12:21:14 Нийт:21 X:14 W:8 4.094285714285714 +++
5.87 12:12:21:39 Нийт:22 X:14 W:9 4.175000000000001 +++
1.34 12:12:21:53 Нийт:23 X:15 W:9 4.051739130434783 ---
5.9 12:12:22:17 Нийт:24 X:15 W:10 4.128750000000001 +++
1.09 12:12:22:30 Нийт:25 X:16 W:10 4.007200000000001 ---
4.32 12:12:22:52 Нийт:26 X:16 W:11 4.01923076923077 +++
26.4 12:12:23:34 Нийт:27 X:16 W:12 4.848148148148149 +++
